LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(pixel/min),(pixel),(min),(pixel),(pixel),(pixel),
ID12537 → ID12819,216,12537,12819,0.37042560161784144,2.06084212691416,0.6086259948587814,0.6086259948587814,41.5,183.26820361208144,401.41881077189237,0.0,
ID5639 → ID6009,216,5639,6009,0.12989848978226387,2.2235395389821058,0.360414330711563,0.360414330711563,15.5,184.51726581884066,408.58757963559975,0.0,
ID21764 → ID22035,216,21764,22035,0.014218380679435304,2.3748921172368633,0.11924085155447064,0.11924085155447064,75.5,195.18537890204453,414.0213461799515,0.0,
ID16526 → ID16779,216,16526,16779,4.110037464615896,0.754061607374414,2.0273227332163706,2.0273227332163706,56.5,170.08403320072688,400.4943805968927,0.0,
ID17148 → ID17408,216,17148,17408,25.599704962340454,0.3758852678553757,5.059615100216661,5.059615100216661,58.5,162.47369822453697,401.2550750338158,0.0,
ID20164 → ID20542,216,20164,20542,6.21740539404101,1.6767562568365797,2.493472557306579,2.493472557306579,70.5,196.98054363905325,407.4704807692308,0.0,
ID23514 → ID23798,216,23514,23798,0.06978965914494284,2.996847918712451,0.26417732519075676,0.26417732519075676,81.5,197.83432135370805,413.02917501110426,0.0,
ID6272 → ID6523,216,6272,6523,0.8358547611865967,1.0828657669326467,0.9142509290050499,0.9142509290050499,17.5,186.60724778936068,408.8542461225528,0.0,
ID10261 → ID10513,216,10261,10513,2.304331142872626,0.03946509721268821,1.5180023527230206,1.5180023527230206,33.5,184.35308908023495,403.21992021382573,0.0,
ID22352 → ID22637,216,22352,22637,1.8601618170427836,0.4390431380053006,1.36387749341456,1.36387749341456,77.5,197.5158955863352,415.8474958836192,0.0,
ID14587 → ID14901,216,14587,14901,5.176310674799226,0.31406304076843145,2.2751506927672343,2.2751506927672343,49.5,169.83818851247153,403.773854546546,0.0,
ID17673 → ID17944,216,17673,17944,117.09203125566998,0.681832559066815,10.82090713644979,10.82090713644979,60.5,166.07475309777942,402.7224036927984,0.0,
ID20024 → ID20164,216,20024,20164,10.359371995975081,0.5351605997509726,3.2185978307292573,3.2185978307292573,69.5,195.15063614081996,406.8611876114082,0.0,
ID22637 → ID22936,216,22637,22936,2.9610275384613773,3.0122066227831974,1.720763649796618,1.720763649796618,78.5,197.33187960060573,415.75924276480106,0.0,
ID23211 → ID23514,216,23211,23514,1.5884624024664884,0.5737151027080873,1.2603421767387175,1.2603421767387175,80.5,197.49645730204065,413.39751571602153,0.0,
ID4604 → ID4738,216,4604,4738,1.208663991638308,1.4573526182933056,1.099392555749905,1.099392555749905,10.5,184.66532738095236,412.6669642857143,0.0,
ID18718 → ID18969,216,18718,18969,2.9675600295368114,0.12785903533901163,1.7226607412769386,1.7226607412769386,64.5,181.74552308802308,407.88012987012985,0.0,
ID5289 → ID5445,216,5289,5445,4.092013308480366,1.0726310420929062,2.0228725388615976,2.0228725388615976,13.5,184.72924484348073,410.43120356348254,0.0,
ID7272 → ID7511,216,7272,7511,1.1299463666790843,1.5412183210176094,1.0629893539820068,1.0629893539820068,21.5,185.31808069139606,405.31524469626123,0.0,
ID15328 → ID15582,216,15328,15582,1.0782965857249374,0.5074153474640344,1.038410605552995,1.038410605552995,52.5,171.09627095407393,399.92732869561314,0.0,
ID3424 → ID3480,216,3424,3480,86.92691081471425,2.3897990746925983,9.323460238276036,9.323460238276036,5.5,191.1606700313197,422.04563149108424,0.0,
ID10513 → ID10794,216,10513,10794,4.213990176448762,1.5606722816269294,2.0528005690881814,2.0528005690881814,34.5,183.0758946542755,403.3387836278224,0.0,
